"","Engine.Capacity","Fuel.Type","Co2"
"587",1461,"Diesel",103
"588",1461,"Diesel",103
"589",1461,"Diesel",101
"590",1598,"Diesel",104
"591",1598,"Diesel",106
"592",1461,"Diesel",104
"593",1598,"Diesel",104
"594",1461,"Diesel",104
"595",1461,"Diesel",104
"596",1461,"Diesel",101
"597",1598,"Diesel",104
"598",1598,"Diesel",106
"599",1461,"Diesel",104
"600",1461,"Diesel",105
"601",1422,"Diesel",104
"602",1422,"Diesel",104
"603",1422,"Diesel",102
"604",1598,"Diesel",109
"605",1598,"Diesel",108
"606",1598,"Diesel",105
"607",1598,"Diesel",106
"608",1598,"Diesel",105
"609",1598,"Diesel",108
"610",1598,"Diesel",109
"611",1598,"Diesel",108
"612",1422,"Diesel",106
"613",1422,"Diesel",103
"614",1598,"Diesel",109
"615",1422,"Diesel",110
"616",1422,"Diesel",104
"617",1422,"Diesel",104
"618",1422,"Diesel",105
"619",1422,"Diesel",104
"620",1422,"Diesel",104
"621",1422,"Diesel",105
"622",1598,"Diesel",102
"623",1598,"Diesel",101
"624",1968,"Diesel",106
"625",1968,"Diesel",107
"626",1598,"Diesel",102
"627",1968,"Diesel",106
"628",1968,"Diesel",107
"629",1422,"Diesel",106
"630",1422,"Diesel",105
"631",1598,"Diesel",109
"632",1422,"Diesel",106
"633",1422,"Diesel",105
"634",1598,"Diesel",109
"635",1598,"Diesel",102
"636",1598,"Diesel",101
"637",1598,"Diesel",110
"638",1598,"Diesel",110
"639",1598,"Diesel",106
"640",1364,"Diesel",106
"641",1364,"Diesel",106
"642",1598,"Diesel",108
"643",1598,"Diesel",110
"644",1598,"Diesel",108
"645",1598,"Diesel",110
"646",1598,"Diesel",108
"647",1598,"Diesel",109
"648",1598,"Diesel",109
"649",1598,"Diesel",109
"650",1598,"Diesel",110
"651",1598,"Diesel",104
"652",1598,"Diesel",103
"653",1598,"Diesel",103
"654",1598,"Diesel",103
"655",1598,"Diesel",109
"656",1598,"Diesel",109
"657",1598,"Diesel",104
"658",1598,"Diesel",104
"659",1598,"Diesel",104
"660",1598,"Diesel",104
"661",1598,"Diesel",104
"662",1598,"Diesel",104
"663",1598,"Diesel",104
"664",1598,"Diesel",109
"665",1598,"Diesel",109
"666",1598,"Diesel",109
"667",1598,"Diesel",104
"668",1598,"Diesel",109
"669",1598,"Diesel",106
"670",1598,"Diesel",109
"671",1598,"Diesel",109
"672",1598,"Diesel",109
"673",1598,"Diesel",109
"674",1598,"Diesel",109
"675",1598,"Diesel",106
"676",1598,"Diesel",106
"677",1598,"Diesel",106
"678",1598,"Diesel",105
"679",1598,"Diesel",102
"680",1598,"Diesel",102
"681",1968,"Diesel",109
